iter	Passed	Remaining
172	469	2242
173	470	2234
174	472	2225
175	473	2218
176	475	2210
177	476	2202
178	478	2195
179	480	2187
180	482	2183
181	483	2174
182	485	2166
183	486	2157
184	488	2150
185	489	2143
186	491	2134
187	492	2127
188	494	2120
189	495	2113
190	498	2112
191	500	2106
192	502	2099
193	503	2093
194	505	2088
195	507	2083
196	509	2077
197	511	2071
198	513	2065
199	514	2058
200	516	2052
201	517	2045
202	519	2038
203	520	2031
204	523	2028
205	524	2022
206	526	2018
207	528	2012
208	530	2006
209	531	2000
210	533	1995
211	535	1990
212	537	1984
213	538	1978
214	540	1973
215	543	1971
216	546	1970
217	547	1965
218	549	1960
219	551	1955
220	553	1951
221	555	1946
222	557	1941
223	560	1941
224	562	1938
225	564	1933
226	565	1927
227	567	1922
228	569	1916
229	570	1910
230	572	1907
231	575	1904
232	576	1899
233	578	1893
234	579	1887
235	581	1883
236	583	1877
237	584	1872
238	586	1867
239	588	1862
240	590	1860
241	592	1855
242	593	1850
243	595	1844
244	596	1839
245	598	1834
246	600	1829
247	601	1824
248	602	1818
249	605	1816
250	607	1811
251	608	1806
252	610	1802
253	612	1797
254	613	1792
255	614	1786
256	617	1786
257	619	1782
258	621	1778
259	623	1773
260	624	1768
261	626	1764
262	628	1759
263	629	1755
264	630	1749
265	632	1745
266	634	1741
267	637	1741
268	639	1736
269	640	1732
270	642	1727
271	643	1723
272	645	1719
273	647	1715
274	648	1710
275	651	1708
276	652	1703
277	654	1700
278	656	1697
279	658	1693
280	660	1689
281	661	1684
282	663	1680
283	664	1676
284	666	1672
285	668	1668
286	669	1664
287	671	1659
288	672	1655
289	674	1651
290	675	1646
291	677	1642
292	679	1638
293	681	1635
294	683	1632
295	685	1630
296	686	1626
297	688	1622
298	690	1618
299	692	1615
300	693	1611
301	695	1608
302	697	1604
303	699	1600
304	700	1596
305	702	1592
306	703	1588
307	705	1584
308	706	1580
309	708	1576
310	710	1573
311	711	1569
312	713	1566
313	715	1562
314	716	1558
315	718	1554
316	719	1551
317	721	1548
318	723	1544
319	726	1544
320	728	1541
321	730	1537
322	731	1534
323	733	1530
324	735	1527
325	737	1523
326	738	1520
327	740	1516
328	743	1516
329	745	1513
330	747	1510
331	749	1507
332	751	1504
333	753	1502
334	755	1499
335	758	1498
336	760	1495
337	761	1491
338	764	1490
339	766	1487
340	769	1487
341	773	1487
342	775	1484
343	776	1481
344	778	1477
345	780	1474
346	783	1473
347	784	1470
348	786	1466
349	788	1465
350	790	1461
351	792	1458
352	794	1455
353	795	1452
354	797	1449
355	799	1445
356	801	1443
357	803	1441
358	805	1438
359	807	1435
360	809	1432
361	811	1429
362	812	1426
363	814	1423
364	816	1420
365	818	1418
366	820	1415
367	822	1412
368	824	1409
369	825	1405
370	827	1402
371	829	1400
372	831	1397
373	833	1394
374	835	1392
375	837	1389
376	838	1386
377	840	1383
378	842	1380
379	844	1377
380	846	1374
381	847	1371
382	849	1369
383	851	1366
384	853	1363
385	855	1360
386	857	1357
387	859	1355
388	860	1352
389	862	1349
390	865	1348
391	867	1345
392	869	1342
393	870	1339
394	872	1336
395	874	1333
396	875	1330
397	877	1327
398	879	1324
399	881	1321
400	882	1318
401	884	1315
402	885	1312
403	887	1309
404	889	1306
405	890	1303
406	892	1300
407	894	1297
408	896	1294
409	897	1291
410	898	1288
411	900	1285
412	902	1282
413	903	1278
414	905	1276
415	906	1272
416	908	1270
417	912	1271
418	914	1267
419	915	1264
420	917	1262
421	919	1259
422	921	1256
423	922	1253
424	924	1250
425	925	1247
426	927	1244
427	929	1241
428	930	1238
429	932	1235
430	933	1232
431	935	1229
432	937	1227
433	938	1224
434	941	1223
435	943	1220
436	944	1217
437	946	1214
438	948	1211
439	949	1208
440	951	1206
441	952	1203
442	954	1199
443	957	1199
444	959	1196
445	960	1193
446	962	1190
447	963	1187
448	965	1184
449	967	1181
450	968	1178
451	969	1175
452	971	1173
453	973	1170
454	975	1168
